"Label","Class","Stake","Horizon","Start.Depth..cm.","End.Depth..cm.","Structure","Consistency","Mottled","X.Clay","X.Silt","X.Sand","Watershed"
"S644-2","SaLo","S644","E",9,19,"granular","friable","",9.108910891,15.84158416,75.04950495,6
"S644-3","SaLo","S644","B1",9,45,"granular","friable","",11.08910891,11.88118812,77.02970297,6
"S644-4","SaLo","S644","B2",45,62,"granular","friable","",9.108910891,12.54125413,78.34983498,6
"S654-1","SaLo","S654","A",0,10,"granular","friable","",12.27722772,23.10231023,64.62046205,6
"S654-2","SaLo","S654","E",10,20,"granular","friable","",10.69306931,24.02640264,65.28052805,6
"S654-3","SaLo","S654","B1",20,9,"granular","friable","",12.67326733,16.76567657,70.56105611,6
"S654-4","SaLo","S654","B2",39,65,"granular","friable","",10.69306931,11.48514851,77.82178218,6
"S654-5","SaLo","S654","BC",65,78,"granular","friable","",12.67326733,26.66666667,60.66006601,6
"S655-1","SaLo","S655","A",0,8,"granular","friable","",12.27722772,25.34653465,62.37623762,6
"S655-2","SaLo","S655","E",8,15,"granular/blocky","friable","",14.25742574,19.40594059,66.33663366,6
"S655-3","SaLo","S655","B1",15,25,"granular","friable","slightly mottled",14.25742574,21.78217822,63.96039604,6
"S655-4","Lo","S655","B2",25,35,"granular/blocky","friable","slightly mottled",20.1980198,31.02310231,48.77887789,6
"S655-5","SaLo","S655","BC",35,61,"granular","friable","slightly mottled",14.25742574,15.84158416,69.9009901,6
"S655-6","SaClLo","S655","CB",61,100,"blocky","friable/firm","",24.15841584,8.580858086,67.26072607,6
